"app_name_greenball","date","STEAM_MAX_PLAYER_COUNT","daily_connections","EXITLAG_unique_users"
"Sid Meier's Civilization VII","2025-11-30","11106","0","0"
"Raft","2025-11-30","10425","41","5"
"Dying Light","2025-11-30","10392","30","5"
"Ready or Not","2025-11-30","10143","456","24"
"World of Tanks","2025-11-30","10132","141087","1282"
"Deep Rock Galactic","2025-11-30","9964","94","6"
"Tabletop Simulator","2025-11-30","9843","41","10"
"Escape the Backrooms","2025-11-30","9630","48","3"
"Astroneer Space","2025-11-30","9608","0","0"
"Dark Souls III","2025-11-30","9360","22","6"
"The Isle","2025-11-30","9091","564","50"
"Fellowship","2025-11-30","9059","16034","297"
"Sea of Thieves","2025-11-30","9007","13061","189"
"Monster Hunter Rise","2025-11-30","8818","64","3"
"Dune: Awakening","2025-11-30","8659","3189","59"
"Blue Protocol: Star Resonance","2025-11-30","8326","69804","607"
"Counter-Strike 2","2025-11-29","1446954","223416","14664"
"Dota 2","2025-11-29","883275","87889","4956"
"PUBG","2025-11-29","615760","379458","3681"
"Battlefield™ 6","2025-11-29","236757","230533","6491"
"Apex Legends","2025-11-29","198929","218495","3358"
"Rust","2025-11-29","144205","8186","795"
"Marvel Rivals","2025-11-29","124018","166961","2493"
"Call Of Duty: MWII | MWIII","2025-11-29","78844","28232","378"
"Team Fortress 2","2025-11-29","78088","2236","93"
"EA SPORTS FC 26","2025-11-29","74241","129762","1448"
"Baldur's Gate 3","2025-11-29","72107","125","21"
"R.E.P.O.","2025-11-29","56405","3275","330"
"Dead by Daylight","2025-11-29","53812","170036","2894"
"Don't Starve Together","2025-11-29","53279","377","19"
"Rainbow Six Siege","2025-11-29","49277","0","0"
"Path of Exile","2025-11-29","48441","395826","2792"
"Farming Simulator 25","2025-11-29","46420","51","7"
"Enshrouded","2025-11-29","42085","1534","95"
"PalWorld","2025-11-29","41685","488","46"
"Europa Universalis V","2025-11-29","39182","0","0"
"Overwatch 2","2025-11-29","38966","114976","2998"
"Limbus Company","2025-11-29","38051","63","15"
"Risk of Rain 2","2025-11-29","37149","443","80"
"INAZUMA ELEVEN: Victory Road","2025-11-29","36232","86","6"
"Helldivers 2","2025-11-29","36021","3068","153"
"Elden Ring","2025-11-29","35470","1203","106"
"Street Fighter VI","2025-11-29","31674","7743","148"
"Left 4 Dead 2","2025-11-29","30622","4780","79"
"7 Days to Die","2025-11-29","30445","316","27"
"Total War Warhammer 3","2025-11-29","30064","51","8"
"Project Zomboid","2025-11-29","29577","271","45"
"ARK: Survival Evolved","2025-11-29","28086","107","16"
"Warhammer: Vermintide 2","2025-11-29","26616","2722","66"
"Monster Hunter Wilds","2025-11-29","26311","1770","68"
"NBA 2K26","2025-11-29","25839","38563","374"
"ARK Survival Ascended","2025-11-29","25600","3388","96"
"Hunt: Showdown","2025-11-29","25388","87139","300"
"Rocket League","2025-11-29","24853","139293","1893"
"Football Manager 2024","2025-11-29","24745","0","0"
"Factorio","2025-11-29","23738","65","16"
"Warhammer 40,000: Space Marine 2","2025-11-29","23726","6463","117"
"Phasmophobia","2025-11-29","21563","1697","57"
"EA SPORTS FC 25","2025-11-29","20881","5792","60"
"Once Human","2025-11-29","20478","7995","177"
"Destiny 2","2025-11-29","19887","20300","142"
"Eternal Return","2025-11-29","19736","15709","445"
"Stellaris","2025-11-29","19659","0","0"
"Stalcraft: X","2025-11-29","19646","5843","94"
"eFootball™ 2026","2025-11-29","19597","107978","340"
"Final Fantasy XIV","2025-11-29","19462","78934","3596"
"Sid Meier's Civilization V","2025-11-29","19412","0","0"
"Russian Fishing 4","2025-11-29","19004","61","8"
"CS: Source","2025-11-29","18683","243","27"
"Goose Goose Duck","2025-11-29","18509","157","11"
"RV There Yet?","2025-11-29","18299","493","19"
"IdleOn - The Idle MMO","2025-11-29","18167","42","3"
"Anno 117: Pax Romana","2025-11-29","17912","34","4"
"Assetto Corsa","2025-11-29","17868","322","27"
"Black Desert Online","2025-11-29","17729","382599","5369"
"The Planet Crafter","2025-11-29","17331","20","2"
"Squad","2025-11-29","17041","106372","110"
"No Man's Sky","2025-11-29","16931","241","13"
"Schedule I ","2025-11-29","16841","104","5"
"Split Fiction","2025-11-29","16789","42","2"
"The Finals","2025-11-29","15866","18822","236"
"Wuthering Waves","2025-11-29","15550","14755","1060"
"Party Animals","2025-11-29","15129","916","27"
"NBA 2K25","2025-11-29","14528","191","7"
"Arma Reforger","2025-11-29","13900","492","66"
"F1 25","2025-11-29","13889","205","34"
"Sons of The Forest","2025-11-29","13812","64","10"
"Borderlands 4","2025-11-29","13469","106","8"
"Ghost Of Tsushima","2025-11-29","13429","0","0"
"MIR4","2025-11-29","13273","25884","1428"
"Path of Exile 2","2025-11-29","13127","22826","327"
"Solo Leveling: ARISE OVERDRIVE","2025-11-29","12538","429","55"
"Fallout 76","2025-11-29","12535","885","41"
"Unturned","2025-11-29","12469","279","10"
"Warhammer 40,000: Darktide","2025-11-29","11664","7147","83"
"Bloons TD 6","2025-11-29","11626","580","11"
"Escape the Backrooms","2025-11-29","11312","30","3"
"Throne and Liberty Global","2025-11-29","11058","605310","2735"
"Dying Light: The Beast","2025-11-29","11042","74","6"
"Sid Meier's Civilization VII","2025-11-29","10804","0","0"
"Diablo IV China","2025-11-29","10480","0","0"
"Deep Rock Galactic","2025-11-29","10259","472","12"
"Raft","2025-11-29","10208","48","7"
"Dying Light","2025-11-29","10195","12","2"
"Astroneer Space","2025-11-29","10144","0","0"
"Dark Souls III","2025-11-29","9257","152","12"
"Monster Hunter Rise","2025-11-29","9117","88","2"
"Tabletop Simulator","2025-11-29","9021","40","7"
"Sea of Thieves","2025-11-29","8889","14526","200"
"Ready or Not","2025-11-29","8754","305","17"
"World of Tanks","2025-11-29","8723","137800","1217"
"Fellowship","2025-11-29","8626","15853","307"
"Blue Protocol: Star Resonance","2025-11-29","8564","73187","622"
"The Isle","2025-11-29","8563","1327","49"
"Dune: Awakening","2025-11-29","8419","2191","59"
"MIMESIS","2025-11-29","8358","0","0"
"Counter-Strike 2","2025-11-28","1428302","201258","14135"
"Dota 2","2025-11-28","822165","78757","4846"
"PUBG","2025-11-28","605231","323279","3466"
"Battlefield™ 6","2025-11-28","228044","182740","5721"
"Apex Legends","2025-11-28","190892","179766","3027"
"Rust","2025-11-28","143831","10445","818"
"Marvel Rivals","2025-11-28","117095","166437","2440"
"EA SPORTS FC 26","2025-11-28","76359","114675","1351"
"Call Of Duty: MWII | MWIII","2025-11-28","72673","25095","354"
"Baldur's Gate 3","2025-11-28","62400","82","14"
"Team Fortress 2","2025-11-28","59052","906","70"
"Don't Starve Together","2025-11-28","50570","310","17"
"R.E.P.O.","2025-11-28","49474","2592","277"
"Dead by Daylight","2025-11-28","49247","146861","2741"
"Path of Exile","2025-11-28","47299","355569","2822"
"Rainbow Six Siege","2025-11-28","45859","0","0"
"Farming Simulator 25","2025-11-28","44132","44","9"
"Limbus Company","2025-11-28","42950","51","12"
"Enshrouded","2025-11-28","37617","1662","96"
"Europa Universalis V","2025-11-28","37119","0","0"
"PalWorld","2025-11-28","36435","449","35"
"Overwatch 2","2025-11-28","35794","99369","2789"
"Risk of Rain 2","2025-11-28","34003","400","71"
"Helldivers 2","2025-11-28","32317","2214","109"
"Street Fighter VI","2025-11-28","31873","8454","147"
"INAZUMA ELEVEN: Victory Road","2025-11-28","30930","34","3"
"Elden Ring","2025-11-28","29594","976","108"
"Left 4 Dead 2","2025-11-28","26901","2500","64"
"Total War Warhammer 3","2025-11-28","26258","88","9"
"PAYDAY 2","2025-11-28","26201","92","3"
"Rocket League","2025-11-28","25309","130676","1751"
"7 Days to Die","2025-11-28","25231","134","17"
